yiddish,transliteration
בייבי,beybi
בייגונג,beygung
בייגיק,beygik
בייגל,beygl
בייגן,beygn
בייגעלע,beygele
ביידע,beyde
בייז,beyz
ביילע,beyle
ביימל,beyml
ביין,beyn
ביכל,bikhl
ביכערדיק,bikherdik
ביכערקראָם,bikherkrom
בילד,bild
בילדונג,bildung
בילדעריש,bilderish
ביליאָן,bilyon
ביליק,bilik
בילן,biln
בילן אויף דער לבֿנה,biln oyf der levone
בילעט,bilet
בימה,bime
בימקום,bimkem
בּין,bin
בין,bin
בינדן,bindn
בינטל,bintl
בינע,bine
ביס,bis
ביסל,bisl
ביסקופּ,biskup
ביצה,beytse
ביציקל,bitsikl
ביציקלירן,bitsiklirn
ביציקלעט,bitsiklet
ביק,bik
ביקס,biks
ביר,bir
ביראָבידזשאַן,birobidzhan
בירגער,birger
בירעבידזשאַן,birebidzhan
בישאָף,bishof
בישקעק,bishkek
בית,beys
בית דין,beyz din
בית־המקדש,beys-amigdesh
בית־דין,beyz-din
בית־עולם,beys-oylem
בכדי,bikhdéy
בכּלל,"biklal, bklal"
בכור,bkhor
בכורה,bkhoyre
בכלל,"bikhlal, bkhlal"
בלאָ,blo
בלאָז,bloz
בלאָזן,blozn
בלאַט,blat
בלאָטע,blote
בלאָק,blok
בלבול,"bilbl, bilbul"
בלוט,blut
בלוטבאָד,blutbod
בלוטיק,blutik
בלוי,bloy
בלויז,bloyz
בלום,blum
בלומבערג,blumberg
בלומענטאַל,blumental
בלומענטאָפּ,blumentop
בלי,bli
בלייך,bleykh
בלינד,blind
בלינצע,blintse
בליִען,blien
בליץ,blits
בליצבריוו,blitsbriv
